"Article name","Journal","Models","Data source/set","Sampling","Sample size (failure / non-failure)","Outcome","My review","My rating (1: best, 5: worst)","Year","doi","Url","Key","Authors","Publisher"
"More than a Dummy: The Probability of Failure, Survival and Acquisition of Firms in Financial Distress","European Management Review","LOGI","US firms listed on NYSE,AMEX, and NASDAQ exchanges in the period 1980-93
Compustat is used for financial statements
LEXIS/NEXIS database is used for exit type
Randomly selected sixteen three-digit SIC code industries 
'an early warning signal' was present in the period 1980 to 1988. They used the Alman Z-score for this purpose
Imputes industry median or zeros for missing values. See page 5",,,,"While I do find multi exit models interesting (which they model) I have no idea why they only define 'survivers' as those who goes below a certain Altman Z-score. Why not extend the idea Shumway (2001) into a multinomial model?
Either their ROC curves turns mirrored or their performance is horriable (see page 14)... ",5,"2012","10.1111/j.1740-4762.2011.01024.x","https://doi.org/10.1111/j.1740-4762.2011.01024.x","_STEBRO_2012","THOMAS \AASTEBRO, JOACHIM K. WINTER","Wiley-Blackwell"
"A comparison of alternative bankruptcy prediction models","Journal of Contemporary Accounting & Economics","LOGI","US firms listed on NYSE and AMEX between 1980-2006
Data is from New Generation Research (www.bankruptcydata.com), Compustat and CRSP
Use chapter 11 as the default outcome
Excludes firms with missing values and financial firms and those with SIC greater than 5999","None","887 bankruptcies and 49,724 non-bankrupt firm-years","AUC of 93% though see the my review ","Test previous model specification for logit models on similar data sets in the US
Adds a variable for the 'number of separate business segments in each of our sample firms'
Adds a lagged version of some of the variables
I would assumet that this action would make their result artifically high. Firms that exit for other reason could likely be similar to firms that default:' We exclude firms that are delisted from CRSP or deleted from Compustat for reasons other than bankruptcy or liquidation'
This is just stupid. Of course the test gets better in sample as the firms that fail are likely similar a few years prior. Though, you would not know this berfore hand. This comment is for '[our is model] equivalent ... Shumway[s] (2001) [model], except that we only include one firm-year observation for each bankrupt firm but all firm-year observations for the surviving firm. This refinement significantly improves model performance.'",4,"2010","10.1016/j.jcae.2010.04.002","https://doi.org/10.1016/j.jcae.2010.04.002","Wu_2010","Y. Wu, C. Gaunt, S. Gray","Elsevier {BV}"
"Using Bayesian networks for bankruptcy prediction: Some methodological issues","European Journal of Operational Research","SVM, LOGI","Firms traded on publicly NASDAQ
'bankrupt firms are identified through Compustat and Lexis?Nexis Bankruptcy Report'
It seems that bankerupt firms are only included as with their latest financial statement (see page 742)
A few firms with missing values are deleted with all missing variables","'... we randomly select 500 firms from the identified active-firm-pool for each sample year. Once a non-bankrupt firm is selected for a year, it is excluded from selection in later years'","890 / 6932 financial statements","Around 81% accurarcy using cross validation","Use Bayes Bayesian network for US listed firms
An advantage of these methods is that the methods can deal with missing values as they show
Show improvements relative to a logistic regression. I speculate that the improvements would not be present if they dealt with extremes values (see the descriptive statistics in table 2)
It is problematic if firms that do fail are not included in the years where they do not fail as controls",4,"2007","10.1016/j.ejor.2006.04.019","https://doi.org/10.1016/j.ejor.2006.04.019","Sun_2007","Lili Sun, Prakash P. Shenoy","Elsevier {BV}"
"Predicting Firm Financial Distress: A Mixed Logit Model","The Accounting Review","LOGI, MM","Australian firms listed on pay Australian Stock Exchange 
Training data from 1996-2000 and testing data from 2001-03
Use 2 level ordinal default indicator. See page 1020
It is not clear to me whether firms that default at one point in the model are also used as control for some periods where they do not default
Data is from Aspect Financial Pty Ltd's Financial Analysis Database (2003) and DatAnalysis Database (2003), Huntley's Delisted Company Database (1993-1999), ASX Market Comparative Analysis (2003b) and Australian Securities and Investment Commission","'[they] use a sample of failed and nonfailed firms that approximates actual fail rates'","2,838 firm years in the nonfailed state 0; 78 firms years in state 1; and 116 years in state 2' where state 0 is survived and state 1-2 are the ordinal distress outcome","See page 1032-1034. It is not clear to me what is being presented. It seems like an accuracy on a hold-out sample of close to 100% for on year ahead forcast","Use mixed logistic regression models with random slopes. Finds significant varinace estimates for some of the slopes
Use an 3 level ordinal variable for firms survival, distress or ' for bankruptcy followed by the appointment of liquidator insolvency administrators, or receivers'. See page 1020. This may be a good idea
I do not get why they compare the multinomial ordinal model with the mixed logit model. Why not use a standard logitistic model versus a mixed logitistic model?
I find that it hard to figure out what they are doing at various states through out the article. Mixed logistic regression and multinomial models can be described easier then how they do it
It seems to me that their out-sample test figure is whether the models gets the overall fractions right - not whether they get the label right. I so no reason why this would be a good measurement of performance. See page 1033",5,"2004","10.2308/accr.2004.79.4.1011","https://doi.org/10.2308/accr.2004.79.4.1011","Jones_2004","Stewart Jones, David A. Hensher","American Accounting Association"
"35 years of studies on business failure: an overview of the classic statistical methodologies and their related problems","The British Accounting Review","RA",,,,,"Provides a review of the litterature prior to 2004. The models are limited to Linear discrimination models, Logistic regression and risk index models
Particulary they discuss:
(1) the arbitrary definition of failure. I find this part useful for a good summary of the issues of defining defaults
(2) non-stationarity and data instability. This is a key point to me that seems to be overlooked in the litterature even Today
(3) sampling selectivity. The section is ok with some good points
(4) the arbitrary choice of the optimisation criteria. The key point here is the critque Shumway (2001) about static versus dynamic models
The rest of the article post page 79 is less interesting to me. The only exceptions is the section 'The use of annual account information' which goes through some of the issues with accounting data",3,"2006","10.1016/j.bar.2005.09.001","https://doi.org/10.1016/j.bar.2005.09.001","Balcaen_2006","Sofie Balcaen, Hubert Ooghe","Elsevier {BV}"
"Exploring the Sources of Default Clustering","{SSRN} Electronic Journal","SMR, FR, CO","US data for firms between 1970-2012 with debt rated by Moody?s
Default data from Moody?s Default Risk Service. See page 10 for default defintion. It includes more than chapter 10, 11 and 7
Macro economic data from Federal
Reserve Banks of New York and Saint Louis","None",,,"Model counts of yearly defaults for US firms using a poisson model with both frailty and contagion
The frailty variable the mean-reverting Cox-Ingersoll-Ross. Contagion is modeled by self-exciting specification of Hawkes process which depends on the dates with at least one default and face values of defaulted debt
The paper may suggest that both contagion and frailty are important in a firm specific model. Though, result may differ when you go from aggregate count to firm specific models
I disagree with their conclussion that '... while firm-specific default risk factors may contain significant information about idiosyncratic default risk, they only contain little information about the systematic default risk not captured by our macroeconomic variables'. The conclusion is based on 'monthly time series of cross sectional averages' which I would assume far from compare to a firm specific model",5,"2008","10.2139/ssrn.1127792","https://doi.org/10.2139/ssrn.1127792","Giesecke_2008","Kay Giesecke, Shahriar Azizpour, Gustavo Schwenkler","Elsevier {BV}"
"Frailty correlated default","The Journal of Finance","CM, FR","US firms between 1979 and March 2004. I assume that the it is listed firms given the data sources below
Data from Bloomberg, Compustat, CRSP Moody?s, the Directory of Obsolete Securities and the SDC database","None","402,434 firm-months with 496 default with 2,793 companies",,"Models US firms from from 1979 to 2004 with a cox model with constant baseline, a frailty component and with both firm speicific and macro economics variables
Models are estimated with with an EM algorithm using MCMC with a Gibss sampler. The shared frailty variable is an  Ornstein?Uhlenbeck process
The adding the frailty makes little difference in the estimates. As the authors write: 'Allowing for frailty does not add significantly to firm-by-firm default prediction'
The results may suggest that profolio managers could underestimate the risk if they do account for the frailty component (see figure 5 on page 2107)
The authors also try a firm specific factor. They conclude that '... estimation does not pin down the variance of Zi [the firm specific frailty] to any reasonable precision with our limited set of data'",3,"2009","10.1111/j.1540-6261.2009.01495.x","https://doi.org/10.1111/j.1540-6261.2009.01495.x","DUFFIE_2009","DARRELL DUFFIE, ANDREAS ECKNER, GUILLAUME HOREL, LEANDRO SAITA","Wiley-Blackwell"
"Common Failings: How Corporate Defaults Are Correlated","THE JOURNAL OF FINANCE","CM, CO","US firms between 1979 and March 2004. I assume that the it is listed firms given the data sources below
Data from Bloomberg, Compustat, CRSP Moody?s and U.S. Federal Reserve Board of Governor
Excludes financial firms","None"," 2,770 firms with 495 defaults and 392,404 firm-months",,"Models US firms from from 1979 to 2004 with a cox model with constant baseline with both macro economic and firm specific varables
Test whether there is clustering that would not accour if the model is true. They reject most of their tests which could imply that some sort of clustering should be accounted for in estimation. This can be by means of missing covariates, fraitly variables or contagion
Though, I will recommend that you see the paper 'Correlation in corporate defaults: Contagion or conditional independence? ' before this one",4,"2007","10.1111/j.1540-6261.2007.01202.x","https://doi.org/10.1111/j.1540-6261.2007.01202.x","DAS_2007","SANJIV R. DAS, DARRELL DUFFIE, NIKUNJ KAPADIA, LEANDRO SAITA","Wiley-Blackwell"
"Financial distress and bankruptcy prediction among listed companies using accounting, market and macroeconomic variables","International Review of Financial Analysis","LOGI, NN","UK listed firm from 1980?2011
Data from Thomson One Banker, Datastream, Worldscope, the Bank of England and London Share Price Database
'... a firm is classified as financially distressed,11 i) whenever its earnings before interest and taxes depreciation and amortisation (EBITDA) are lower than its financial expenses for two consecutive years; and ii) whenever the firms suffer from a negative growth in market value for two consecutive years ... [or when a firm] suspended, in liquidation or voluntary liquidation, when its quotation has been suspended for more than three years, when the firm is being held by a receiver (in receivership), in administration or in administrative receivership, or when there has been a cancellation or suspension of the firm'
Financial firms are excluded","None","'23,218 company year observations for a total of 3020 non-financial publicly quoted  companies? [and] ? 1254 firm-years classified as financially distressed; '","In sample AUC 92%","Model financial distress using both firm specific and macro ecnomic variables in a logit mode
Finds that adding market variables with accountning variables makes a difference. Adding macro economic variables does not seem to have an impact
They have 130 macro variables to start with. Thus details of the following procedure would be nice:' The data was subject to a rigorous cleaning and testing process and a novel approach for dealing with outlying observations was adopted. Using both univariate and multivariate (logit) procedures considerable experimentation was undertaken to arrive at the final choice of regressors.'
The former comment is further driven by the fact that they only use in-sample performance tests
Compares with a neural network which outperforms in terms of in sample AUC
Use the inverse tangent function for ratios which may or may not be smart
The article could have less than 10 page - not the 26 
Be aware of their defintion of financial distress (see the 'Data' column)",3,"2013","10.1016/j.irfa.2013.02.013","https://doi.org/10.1016/j.irfa.2013.02.013","Hernandez_Tinoco_2013","Mario Hernandez Tinoco, Nick Wilson","Elsevier {BV}"
"Correlation in corporate defaults: Contagion or conditional independence? ","Journal of Financial Intermediation","CM, CO","All US industrial firms with a debt issue registered in Moody?s DRSD and with data in CRSP and CompuStat in the period of January 1982 to December 2005
Excludes default within same coorporate family by ''... disregard[ing] all consecutive default events that occur within a 1-month horizon of any previously registered default ascribed to the same parent company' ","None","'? 370 defaults, with an average of 1142 and a minimum of 1007 firms in the model at any time'",,"Fails to reject a test of  which may indicate contagion shown in a previous article on US data with cox model with constant baseline. Further, the authors does not find a sigificant effect of adding a Hawkess process to model contagation which has previously been used in other papers. The difference is that the authors add both macro economic and firm specific variable
Excludes default within same coorporate family  may be a good idea
Caveat: My advisor is one of the authors",3,"2010","10.1016/j.jfi.2010.03.002","https://doi.org/10.1016/j.jfi.2010.03.002","Lando_2010","David Lando, Mads Stenbo Nielsen","Elsevier {BV}"
"Modeling frailty-correlated defaults using many macroeconomic covariates","Journal of Econometrics","SMR, FR","US data from 1970 to 2009
Data from the Federal Reserve Economic Database FRED and Moody?s default data","None",,,"Model defaults counts in industry sections using binomial models with logstic link function. The models includes a shared fraility variable across sections. The frailty variable follows a stationary autoregressive process of order one
More than 100 macro economic variables are included. Principal component is used to reduce the dimension. Principle components and an EM algorithm is also used to impute missing macro economic variables
The model is estimated using an approxiamte state space method
Finds a significant effect of the frailty variable
The paper may imply that frailty should be accounted for in individual firm models. Though, this is speculation from my site",4,"2011","10.1016/j.jeconom.2011.02.003","https://doi.org/10.1016/j.jeconom.2011.02.003","Koopman_2011","Siem Jan Koopman, Andr̩ Lucas, Bernd Schwaab","Elsevier {BV}"
"Do differences in financial reporting attributes impair the predictive ability of financial ratios for bankruptcy","Review of Accounting Studies",,,,,,,,"2012","10.1007/s11142-012-9186-7","https://doi.org/10.1007/s11142-012-9186-7","Beaver_2012","William H. Beaver, Maria Correia, Maureen F. McNichols","Springer Nature"
"Modeling the effect of macroeconomic factors on corporate default and credit rating transitions","International Review of Economics & Finance",,,,,,,,"2012","10.1016/j.iref.2011.05.004","https://doi.org/10.1016/j.iref.2011.05.004","Figlewski_2012","Stephen Figlewski, Halina Frydman, Weijian Liang","Elsevier {BV}"
"Some new models for financial distress prediction in the UK",,"LOGI","UK publicly listed companies between 1978 and 2006
Data is from London Share Price Database and Datastream
Failure is defined as any of these events:' (1) Suspension or cancellation with share acquired later (2) Liquidation (usually valueless, but there may be liquidation payments) (3) Quotation suspended - if suspended for more than three years, this may lead to automatic cancellation (4) Voluntary liquidation, where value remains and was/is being distributed (5) Receiver appointed/liquidation. Probably valueless, but not yet certain (6) in Administration or administrative receivership (7) Cancelled and assumed valueless.'
Financial firms are excluded","None","589 / 49,063  financial statements
Though the sample with market data must be smaller since they write:' Missing price or returns data mean that the sample for this analysis is limited to 428 bankrupt firms. '","In sample AUC of 90%","Model default of UK listed firms using logisitic regression. Use both macro economic variables and firm specefic variables
This does not sounds like the best approach to select variables:' From the potential candidate list, an extensive univariate analysis and the testing of alternative logit models, we end up with the following list of variables'
They should not compare the AUC of the model in table 5 with the full population versus the model in table 6 with the subset that only has market data. They do this when they write '... the area under the ROC curve also increase from 81.24% to 89.92% and 89.61% in models 1 and 2'
They get only a slight improvment in AUC by including macro economic variables
They select five industry and add intercept and slopes for each industry. They '... conduct simple t-tests to check whether variables [industry slopes and intercepts] are found to be significant' and exclude variables on the basis hereof. I figure this must be on the full sample which may inflate their perform metrics later
They finds improvments in in-sample AUC and decile ranking out-sample (in time)",4,,,,,,
"Default prediction with dynamic sectoral and macroeconomic frailties","Journal of Banking & Finance",,,,,,,,"2014","10.1016/j.jbankfin.2013.11.036","https://doi.org/10.1016/j.jbankfin.2013.11.036","Chen_2014","Peimin Chen, Chunchi Wu","Elsevier {BV}"
"Self-exciting corporate defaults: contagion vs. frailty","Manuscript, Stanford University","SMR, CO, FR","US firms from 1970 to 2006
Defaults from Moody?s Default Risk Service
Firms issues are included if it '? is not a sovereign and has a senior rating'
Their default definition seems broad to me (see page 6 under data). For example '51% of the defaults are due to missed interest payments'","None","6048 firms in 2006
1374 defaults through out the period",,"Models aggreagate defaults count for US firms. The models includes both frailty and contagion. The intensity is a CIR process (which gives the frailty) with a term added for the counts of defaults (which gives the contagion). Different functions of the number of events is used for the contagion effect
They use two macro economic variables in addition in the modelling (3 month Treasury bill yield and the trailing 1 year return on the S&P 500 index). I guess a CIR process for the treasury bill and geomatric brownian motions for the S&P returns is an ok choice for the models for these 
I am not sure whether or not their test or estimation methods are a good idea. I would have to read up on counting process to evaluate this
The two variables add little information to the model. Finds that the Hawkess process work rather well
I would hesitate to conclude that this also applies for firms specefic models rather than default counting process. The paper may be interesting if you want to model aggregate counts. Though, I figure you might as well use a firm specific model with contagion an aggregate from this model

Some notes that may be useful when reading: 
- Zero-factor model: Hawkess process
- One-factor model: CIR process with contagion effect
- One-factor w/ covariates: replace the Brownian motion with one of the covariates",4,,,,,,
"Multiperiod corporate default prediction a forward intensity approach","Journal of Econometrics","SMR","Compustat and CRSP data 
Firms from 1991 to 2011 from NYSE, AMEX and Nasdaq with common stocks 
Default indicators from Credit Research Initiative","None","12,268 companies w/ 1,104,963 firm-month","85.16% AUC out-sample in time","Estimates a piecewise exponential for competing risk problem. The itensities are combined exit and default given exit. Yields an easy to evaluate pseudo likelihood. There is a parameter for each month in the itensity 
Shows considerable better outsample performance compared to: Duffie, D., Saita, L., Wang, K., 2007. Multi-period corporate default prediction with stochastic covariates
Seems interesting. The performance is quite good
I would have to look at the details on the pseudo likelihood setup",2,"2012","10.1016/j.jeconom.2012.05.002","https://doi.org/10.1016/j.jeconom.2012.05.002","Duan_2012","Jin-Chuan Duan, Jie Sun, Tao Wang","Elsevier {BV}"
"In search of distress risk","The Journal of Finance","LOGI","US (listed?) firms in the period 1963-1998 and 1963-2003
Data from the Wall Street Journal Index, the SDC database, SEC filings, and the CCH
Capital Changes Reporter, CRSP and COMPUSTAT
Two default indicators are used: one which is chapter 7 or chatper 7 filling and another which also includes ' financial reasons, or receives a D rating'","None","1.7 million firm-months with 800 bankruptcy months and 1,600 failure months with the broader definition","Only report in-sample and out-sample McFadden's pseudo R-squared","Fit a model logistic model like Shumway (2001) with many adjustments. The article is very accessible article. Some of the adjustments and changes are mentioned below. Large part of the article can be skipped if you only care about the details for their model
The following may be a good idea since the variable is used in the denomintor: 'we add 10% of the difference between market and book equity to the book value of total assets, thereby increasing book values that are extremely small and probably mismeasured'
This might be a bit more questionable: 'Just under 2% of firm-months still have negative values for book equity even after this adjustment, and we replace these negative values with small positive values of $1 to ensure that the market-to-book ratios for these firms are in the right tail, not the left tail, of the distribution.'
This may be a good idea: 'each firm?s log price per share, truncated above at $15 (PRICE).'
They add lagged profitablity and excess stock return with  geometrically declining weights the lags. The lag is set to 2^(-1/3) which is kind of abiritraty in addiontion to the number of terms they include. See page 13
Change the denominator in some of the ratios from total assets to book value
Add two more variables
The inclusion of the averages with geomtric weights and descission like the next phrase makes me wonder how much data dredging they have done:' Exploratory analysis suggests that price per share is relevant below $15, and so we winsorize price per share at this level before taking the log.'
Find minor effects of industry dummies add and some interactions. Though, it would be interesting to know at what level the dummies are at. See page 19 for details
The do more things in the article (e.g. trading strategies and comparison with Merton model) which is not included here",2,"2008","10.1111/j.1540-6261.2008.01416.x","https://doi.org/10.1111/j.1540-6261.2008.01416.x","CAMPBELL_2008","JOHN Y. CAMPBELL, JENS HILSCHER, JAN SZILAGYI","Wiley-Blackwell"
"Bankruptcy prediction with industry effects","Review of Finance","LOGI","US listed firms on NYSE, AMEX and NASDAQ from 1962 to 1999 
Data is from Wall Street Journal Index, The SDC Database, SEC filings, COMPUSTAT, SIC and the CCH Capital Changes Reporter
Defaults are defined as chapter 7 and 11 fillings","None","Up to 1461 bankruptcies and 8079 active firms. The latter being in a given year and the former over the whole sample","Out-sample AUC up to 91% for yearly forecasts","Estimate a model like Shumway (2001) using US listed firms 
They estimate a model with four level dummy for industries with intercept and slope interactions. Finds minor improvments in out-sample tests with their best performing model
It is not clear to me why they only use some dummy and covariate interactions and not others. I.e. why is there not an interaction term between say EXRET and industry?
It may worth to look at the following comment if you are goind to use industry variables '... there are a few well-known problems with the SIC codes as reported by both COMPUSTAT and CRSP (see ...'
In addition they also extend the data set of Shumway (2001) with firms listed on NASDAQ, test models with financial firms and test monthly forecast models
They find higher out-sample AUC with monthly forecast rather than yearly. I do not find this too surprising as I asume the task is easier given more recent data closer to the defaults",3,"2004","10.1093/rof/8.4.537","https://doi.org/10.1093/rof/8.4.537","Chava_2004:1","S. Chava, R. A. Jarrow","Oxford University Press ({OUP})"
"Are hazard models superior to traditional bankruptcy prediction approaches? A comprehensive test","Journal of Banking & Finance",,,,,,,,"2014","10.1016/j.jbankfin.2013.12.013","https://doi.org/10.1016/j.jbankfin.2013.12.013","Bauer_2014","Julian Bauer, Vineet Agarwal","Elsevier {BV}"
"A re-evaluation of auditors' opinions versus statistical models in bankruptcy prediction","Review of Quantitative Finance and Accounting","LOGI","US-listed firms on NASDAQ, AMEX and NYSE from 1991 to 2001
Defaults are from Compustat and Lexis-Nexis Bankruptcy Report databases
Financial data from Compustat and 'Auditors? going concern opinions are obtained by anually reading auditors? reports' 

Firms are excluded from the financial industry group (SIC 6000?6999) or utility (SIC 4900?4999) industries

Firms are excluded who do not have a 10-K and 20-k filed prior (as far as I gather though they later write that only collect these for the test sample so I am not sure how this is done)","From what I gather, the non-bankrupt firms are sampled. I figure so from this comment:' Nonbankrupt firms with complete information randomly selected in the periods of 1991?2002'","587 / 3183 firms with  22231 nonbankruptcy firm-years","Bootstraps Estimated Misclassification Cost (EMC) for a grid of different relative costs","Fits a hazard model like Shumway (2001)
It seems like a lot observations are excluded who does not have a 10-K filed prior
I don?t see why they exclude the utility firms and sample the non-bankerupt firms. The articles is from 2006 so estimating the logit a model for the full sample should be durable
I guess including Current Assets/Total Assets and Cash/Total Assets could lead to multicollinearity issues
Uses lagged year default rates based on two digits SIC codes. May be a good idea though I figure som of the two digits SIC codes groups will be sparse. The issues with the two digits level is further stressed in this later comment:' The average annual industry failure rate is 1.35%. Note that some high industry failure rates are driven by the small number of firms existing in the industry' 
Uses cutoffs and Estimated Misclassification Cost (EMC) which I am not a fan of due to the arbitrariness of the relative cost and cutoff level
I do not get why they add 'the composite stress measure' instead of just including the terms. E.g. for Zmijewski probability which consists of a lot of variables they already include and an rather arbitrary cutoff of 28% 
I do not get this comment when they bootstrap the EMC:' There is no need to randomly select bankrupt firms since they are deterministic'
I will need to read up on the bootsrap procedure on page 73. The results suggest that the hazard models does better than the auditors opinions for most cost levels
The binary for the auditors opinon has an increase in odds of exp(1.8) when added to the model",4,"2006","10.1007/s11156-006-0003-x","https://doi.org/10.1007/s11156-006-0003-x","Sun_2006","Lili Sun","Springer Nature"
"Multi-period corporate default prediction with stochastic covariates","Journal of Financial Economics","SMR","US-listed industrial firms from 1980 to 2004
Quaterly accounting data from Compustat with stock data from CRSP
'... timing of default, merger, other-exit, and bankruptcy are mainly from Moodys Default Risk Service and the CRSP/Compustat database. For cases in which a firm exits our database and no exit reason appears in either of these sources, we refer to Bloomberg?s CACS function, SDC, CRSP, and, when necessary, other sources'
Only firms with records in Compustat, CRSP and Moodys data base are included. Further only firm with Moodys ??Industrial?? category are included","None","'2,770 firms, covering 392,404 firm-months of data' of which 175 defaults. See page 11 for further outcome definitions","88% out-sample one year ahead accuracy ratio which they define as #the area between the power curve and the 45 line'
This may explain why they later get negative estimates in table 3","Forecasts default for US listed firms. The instanous hazard is modelled by the exponential distribution with macro economic and firm specific covariates
Firm specific covariates are modelled independently with a first-order Gaussian vector autoregressive model with mean reversion 
Estimates merger and accusitions as a separate process
The idea of modelling the covariate process is interesting. Whether the model they propose is suitable or not is not clear to me. Firstly, estimating target values for each firm as they do in (14) seems questionable for firms where we have little data. Further, I recall reading about other models for predicting accounting data which does fairly well. These could be used in place as the covariate process is assumed independent
Their out-sample performance is quite high for one year ahead out-sample forecast. Though, their comparison Shumway (2001) and Beaver, McNichols, and Rhie (2005) on page 24 is questionable given that these papers work with a larger an possibly harder to clasify population",3,"2007","10.1016/j.jfineco.2005.10.011","https://doi.org/10.1016/j.jfineco.2005.10.011","Duffie_2007","Darrell Duffie, Leandro Saita, Ke Wang","Elsevier {BV}"
"Bankruptcy Prediction in Norway: A Comparison Study","Applied Economics Letters","LOGI, GAM, MM","Limited-liability firms in Norway in 1996-2000
The following exlcussion are made:
- Firms with zero equity, short term debt or revenue from operations
- First that does not report financial statements the last year of existence including bankrupt firms
- Firms with  values below 0.2%-quantile and above 99.8%-quantile
Further excludes (only) firms in the sectors salaried household work and internal organs and organizations","None","'436;145 flrm-years corresponding to 98;421 unique flrms, and contains 2;270 bankruptcies'","AUCs arround 90% for 1 year ahead out-sample forecasts","Fit a logistic regression for Norwegian firms with and without mixed effects. Further fits a genralized additive model 
Illustrates how a generalized addtive model can be used to construct features for logistic regression. Though, doing so yields almost similar results for the generalized addtive model as for the logistic model (as I would assume)
Chaning the industry dummies from from fixed to random in their mixed effects makes little difference for the out-sample AUC (as I would expect). I would find a frailty specification more interesting where the you had random industry effects that varied across time
Note the exclussion in the 'Data source/set'. I am not sure it introduces biases. For instance, how many bankrupt firms where exlcuded due to missing data and how many firms where excluded due to zero values in some of the variables? My experince would sugest a lot 
Add a variable for number of auditors remarks which may be useful",3,"2010","10.1080/13504850903299594","https://doi.org/10.1080/13504850903299594","Dakovic_2010","Rada Dakovic, Claudia Czado, Daniel Berg","Informa {UK} Limited"
"Firms in Financial Distress, a Survival Model Analysis",,,,,,,,,,,,,,
"Have Financial Statements Become Less Informative? Evidence from the Ability of Financial Ratios to Predict Bankruptcy","Review of Accounting studies","LOGI","'NYSE and AMEX-listed Compustat firms. Bankrupt firms were identified through a variety of sources including the 2003 Compustat Annual Industrials file, the 2003 CRSP Monthly Stock file, the website Bankruptcy.com, the Capital Changes Reporter, and a list of firms generously supplied by Shumway'
Excludes financial or utility industries","None","544 / 4,237 firms with 74,823 firm years","Only reports in-sample and out-sample deciles ranking. Results are comparable to Shumway (2001)","Examins the predictive perform through time with a model like Shumway 2001 for American listed firms
Fits a simple 3 accoutning variable model acroos two different time periods and compares. Finds stable coeffecients and out-sample decile rankings 
Easy to read
Later they add marked values like Shumway (2001) expect that they use returns instead of excess returns
I hesitate to say they conclusion of robustness could not just be a fact of the chosen periods 
I dont get why they focus on the last three deciles in their deciles ranking. Failures outsite even the first decile should be of concern given the sparse amount of failures. See table table 5 panel E versus table 8 panel G. This comment is related to phrases like:' The overall predictive power of the combined model remains essentially unchanged when accuracy is measured with respect to the bottom three deciles'",3,"2005","10.1007/s11142-004-6341-9","https://doi.org/10.1007/s11142-004-6341-9","Beaver_2005","William H. Beaver, Maureen F. McNichols, Jung-Wu Rhie","Springer Nature"
"Predicting financial distress and corporate failure: A review from the state-of-the-art definitions, modeling, sampling, and featuring approaches","Knowledge-Based Systems","RA",,,,,"Review articles using 'state-of-the-art' methods and catogrise them with respect to financial distress definition, methods, sampling and feature selection
The methods section is intersting in that it covers more 'new-age' classifiers like SVM, NN, fuzzy-network, ensambles etc. The introduction to the various method is limited and more focus is put on the articles
There were not any many insides for me in the sampling section and feature section. It may be useful if you searching for a reference to articles that samples as you do  
Some of the comments are qustionable or out right wrong like:' However, it [logistic] still requires that the independent variables have no linear functional relationship with each other, namely, no multi-collinearity
problem' (which is true if the are very linearly dependent of course but by no means require complete linear independence)",4,"2014","10.1016/j.knosys.2013.12.006","https://doi.org/10.1016/j.knosys.2013.12.006","Sun_2014","Jie Sun, Hui Li, Qing-Hua Huang, Kai-Yu He","Elsevier {BV}"
"Neural network ensemble strategies for financial decision applications","Computers & Operations Research",,,,,,,,"2005","10.1016/j.cor.2004.03.017","https://doi.org/10.1016/j.cor.2004.03.017","West_2005","David West, Scott Dellana, Jingxia Qian","Elsevier {BV}"
"Dynamics of firm financial evolution and bankruptcy prediction","Expert Systems with Applications",,,,,,,,"2017","10.1016/j.eswa.2017.01.016","https://doi.org/10.1016/j.eswa.2017.01.016","du_Jardin_2017","Philippe du Jardin","Elsevier {BV}"
"Ensemble with neural networks for bankruptcy prediction","Expert Systems with Applications","NN, AdaBoost, BA","'The data set contains 1458 externally audited manufacturing firms, half of which went bankrupt during 2002?2005 while healthy firms were selected from active companies at the end of 2005'","It is not clear. I figure they must have used a skewed sample since they use binary results and given their Type I and II errors in table 6","Not clear. There is a total of 1458 firms","AUCs up to 76% using 10 fold cross validation","Predict bankrupcty for Korean firms. Compares Neural Networks as is, with bagging and with AdaBoost. Finds improvments with both ensamble methods
Results suggest that bagging might be slightly better
AUCs seems low 
Would be nice to know the details herof:' Several experiments were conducted to find the effects of the number of hidden nodes on the accuracy in predicting the test data set,'
Would also be nice to know the details hereof:' Initially 32 financial ratios... are investigated ... Finally, 7 financial ratios with the highest accuracy ratio [AUC]'
I figure they used the entire sample for the latter previous comment. I guess this could lead to overfitting issues. It seems that they used 10-fold cross validation for the former when you look at table 5
I guess there is one record per firm 
Bags all the results and ignores the temporal aspect of the data",5,"2010","10.1016/j.eswa.2009.10.012","https://doi.org/10.1016/j.eswa.2009.10.012","Kim_2010","Myoung-Jong Kim, Dae-Ki Kang","Elsevier {BV}"
